"3"	"5"	"6"	"8"	"10"
"macromolecular complex"	0	0	0	0	0
"ruffle membrane"	0	0	0	0	0
"envelope"	0	0	0	0	0
"membrane-enclosed lumen"	0	0	0	0	0
"organelle envelope lumen"	0	0	0	0	0
"nuclear lumen"	0	0	0	0	0
"organelle envelope"	0	0	0	0	0
"mitochondrial membrane"	0	0	0	0	0
"non-membrane-bounded organelle"	0	0	0	0	0
"protein complex"	0	0	0	0	0
"organelle lumen"	0	0	0	0	0
"intracellular non-membrane-bounded organelle"	0	0	0	0	0
"mitochondrial nucleoid"	0	0	0	0	0
"glycogen granule"	0	0	0	0	0
"fatty acid beta-oxidation multienzyme complex"	0	0	0	0	0
"nuclear outer membrane-endoplasmic reticulum membrane network"	0	0	0	0	0
"nucleoplasm part"	0	0	0	0	0
"endoplasmic reticulum part"	0	0	0	0	0
"membrane part"	0	0	0	0	0
" 186669"	0	0	0	0	0
"cytoskeletal part"	0	0	0	0	0
"mitochondrial part"	0	0	0	0	0
"nuclear part"	0	0	0	0	0
"cell periphery"	0	0	0	0	0
"perinuclear region of cytoplasm"	0	0	0	0	0
"intracellular organelle lumen"	0	0	0	0	0
"intermediate filament cytoskeleton"	0	0	0	0	0
"purine nucleobase binding"	0	0	0	0	0
"DNA binding"	0	0	0	0	0
"nucleic acid binding"	0	0	0	0	0
"nucleoside binding"	0	0	0	0	0
"retinal dehydrogenase activity"	0	0	0	0	0
"nucleobase binding"	0	0	0	0	0
"magnesium ion binding"	0	0	0	0	0
"3-keto sterol reductase activity"	0	0	0	0	0
"lipid kinase activity"	0	0	0	0	0
"nucleic acid binding transcription factor activity"	0	0	0	0	0
"tRNA binding"	0	0	0	0	0
"TRAF2-GSTP1 complex"	0	0	0	0	0
"nucleotide binding"	0	0	0	0	0
" 193968"	0	0	0	0	0
"acetyl-CoA C-acetyltransferase activity"	0	0	0	0	0
"NADPH:quinone reductase activity"	0	0	0	0	0
"3-hydroxyacyl-CoA dehydrogenase activity"	0	0	0	0	0
"3-beta-hydroxy-delta5-steroid dehydrogenase activity"	0	0	0	0	0
"D-amino-acid oxidase activity"	0	0	0	0	0
"RNA binding"	0	0	0	0	0
"sequence-specific DNA binding transcription factor activity"	0	0	0	0	0
"carboxylesterase activity"	0	0	0	0	0
"aldehyde oxidase activity"	0	0	0	0	0
"aldehyde dehydrogenase [NAD(P)+] activity"	0	0	0	0	0
"aldehyde dehydrogenase (NAD) activity"	0	0	0	0	0
"L-aminoadipate-semialdehyde dehydrogenase activity"	0	0	0	0	0
"acetyl-CoA C-acyltransferase activity"	0	0	0	0	0
